221.161.133.15gi7,BSBG03871,221.161.133.15,7,./down,auto,auto/auto,.,15,104000/-,,2015-10-25 20:00:09
221.161.133.15gi6,BSBG03871,221.161.133.15,6,./down,auto,auto/auto,.,15,520000/-,,2015-10-25 20:00:09
221.161.133.15gi9,BSBG03871,221.161.133.15,9,./up,manual,1G  /full,1G  /full,no_limit,-/-,,2015-10-25 20:00:09
221.161.133.15gi8,BSBG03871,221.161.133.15,8,./down,auto,auto/auto,.,15,104000/-,,2015-10-25 20:00:09
221.161.133.15gi3,BSBG03871,221.161.133.15,3,./up,auto,auto/auto,100M/full,50,104000/-,,2015-10-25 20:00:09
221.161.133.15gi2,BSBG03871,221.161.133.15,2,./up,auto,auto/auto,100M/full,50,104000/-,,2015-10-25 20:00:09
221.161.133.15gi5,BSBG03871,221.161.133.15,5,./up,auto,auto/auto,100M/full,50,104000/-,,2015-10-25 20:00:09
221.161.133.15gi4,BSBG03871,221.161.133.15,4,./up,auto,auto/auto,100M/full,50,104000/-,,2015-10-25 20:00:09
221.161.133.15gi1,BSBG03871,221.161.133.15,1,./up,auto,auto/auto,100M/full,50,104000/-,,2015-10-25 20:00:09
61.79.64.21gi9,BSGJ02480,61.79.64.21,9,./up,manual,1G  /full,1G  /full,no_limit,-/-,,2015-10-25 20:00:09

